customer_id,record_id,full_name,email,ticket_type,won_date,plan_type,created_date,closed_date,assigned_to,payment_status,Number_of_days_to_close_ticket
33,1,Ibarra-Sanchez,,"General Query",--,"PLAN 6",2025-01-02,"","Nicholas Ward",,
28,2,"Rush, Perkins and Krueger",,"General Query",2024-09-06,"PLAN 2",2025-05-15,"","Austin Miller",OVERDUE,
3,3,"Reyes, Moore and Waller",,"General Query",--,"PLAN 3",2025-02-15,2025-01-30,"Aaron Gutierrez",PAID,-16.0
3,3,"Reyes, Moore and Waller",,"General Query",--,"PLAN 8",2025-02-15,2025-01-30,"Aaron Gutierrez",PAID,-16.0
3,3,"Reyes, Moore and Waller",,"General Query",2025-01-15,"PLAN 7",2025-02-15,2025-01-30,"Aaron Gutierrez",PAID,-16.0
12,4,"Gardner, Boone and Moody",,"Sales Query",--,"PLAN 4",2025-03-27,"","Matthew Freeman",PAID,
12,4,"Gardner, Boone and Moody",,"Sales Query",2024-10-02,"PLAN 8",2025-03-27,"","Matthew Freeman",PAID,
22,5,"Lang PLC",,Termination,--,"PLAN 3",2025-05-11,2025-05-03,"Kelly Mcclain",,-8.0
22,5,"Lang PLC",,Termination,--,"PLAN 7",2025-05-11,2025-05-03,"Kelly Mcclain",,-8.0
6,6,"Burns Inc",,"General Query",--,"PLAN 5",2025-04-24,"","Isabel Stewart",,
6,6,"Burns Inc",,"General Query",--,"PLAN 8",2025-04-24,"","Isabel Stewart",,
18,7,"Liu, Mayo and Adams",,Complaint,2025-04-23,"PLAN 5",2025-01-25,2025-05-15,"Raymond Hobbs",INVOICED,110.0
14,8,,,"Billing Query",,,2025-05-24,2025-04-30,"Ruth Watson",,-24.0
38,9,"Gray PLC",,"Sales Query",2025-02-21,"PLAN 7",2025-04-06,2025-01-18,"Manuel Maddox",INVOICED,-78.0
6,10,"Burns Inc",,"Billing Query",--,"PLAN 5",2025-03-12,2025-06-03,"Catherine Reyes",,83.0
6,10,"Burns Inc",,"Billing Query",--,"PLAN 8",2025-03-12,2025-06-03,"Catherine Reyes",,83.0
29,11,,,"Sales Query",,,2025-01-25,2025-03-11,"Barbara Lloyd",,45.0
39,12,Hart-Hinton,,Complaint,--,"PLAN 8",2025-01-19,"","Tanner Luna",OVERDUE,
39,12,Hart-Hinton,,Complaint,2024-12-08,"PLAN 1",2025-01-19,"","Tanner Luna",OVERDUE,
4,13,Mcbride-Cole,,"General Query",2025-05-08,"PLAN 3",2025-05-05,2025-01-02,"Steven Williams",INVOICED,-123.0
41,14,,,"Billing Query",,,2025-02-06,2025-04-09,"Monica Miller",,62.0
